series_name,country_name,category,income_group,year,value
Diabetes prevalence (% of population ages 20 to 79),Mozambique,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Sudan,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Madagascar,Health Outcomes,Low-Income Countries,2002,44.0
Diabetes prevalence (% of population ages 20 to 79),Rwanda,Health Outcomes,Low-Income Countries,2002,44.0
"Mortality rate, adult, male (per 1,000 male adults)",United States,Health Outcomes,High-Income Countries,2002,144.378
"Mortality rate, adult, male (per 1,000 male adults)",Germany,Health Outcomes,High-Income Countries,2002,120.763
"Mortality rate, adult, male (per 1,000 male adults)",Japan,Health Outcomes,High-Income Countries,2002,95.051
"Mortality rate, adult, male (per 1,000 male adults)",Norway,Health Outcomes,High-Income Countries,2002,99.014
"Mortality rate, adult, male (per 1,000 male adults)",Australia,Health Outcomes,High-Income Countries,2002,90.801
"Mortality rate, adult, male (per 1,000 male adults)","Korea, Rep.",Health Outcomes,High-Income Countries,2002,141.3
"Mortality rate, adult, male (per 1,000 male adults)",Canada,Health Outcomes,High-Income Countries,2002,96.835
"Mortality rate, adult, male (per 1,000 male adults)",United Kingdom,Health Outcomes,High-Income Countries,2002,105.896
"Mortality rate, adult, male (per 1,000 male adults)",Switzerland,Health Outcomes,High-Income Countries,2002,91.8
"Mortality rate, adult, male (per 1,000 male adults)",Italy,Health Outcomes,High-Income Countries,2002,95.824
"Mortality rate, adult, male (per 1,000 male adults)",Sweden,Health Outcomes,High-Income Countries,2002,84.604
"Mortality rate, adult, male (per 1,000 male adults)",Brazil,Health Outcomes,Middle-Income Countries,2002,227.348
"Mortality rate, adult, male (per 1,000 male adults)",India,Health Outcomes,Middle-Income Countries,2002,245.4
"Mortality rate, adult, male (per 1,000 male adults)",South Africa,Health Outcomes,Middle-Income Countries,2002,514.914
"Mortality rate, adult, male (per 1,000 male adults)",Mexico,Health Outcomes,Middle-Income Countries,2002,181.319
"Mortality rate, adult, male (per 1,000 male adults)",Indonesia,Health Outcomes,Middle-Income Countries,2002,208.586
"Mortality rate, adult, male (per 1,000 male adults)",Philippines,Health Outcomes,Middle-Income Countries,2002,180.463
"Mortality rate, adult, male (per 1,000 male adults)","Egypt, Arab Rep.",Health Outcomes,Middle-Income Countries,2002,219.834
"Mortality rate, adult, male (per 1,000 male adults)",Colombia,Health Outcomes,Middle-Income Countries,2002,219.658
"Mortality rate, adult, male (per 1,000 male adults)",Argentina,Health Outcomes,Middle-Income Countries,2002,174.967
"Mortality rate, adult, male (per 1,000 male adults)",Viet Nam,Health Outcomes,Middle-Income Countries,2002,199.725
"Mortality rate, adult, male (per 1,000 male adults)",Morocco,Health Outcomes,Middle-Income Countries,2002,205.899
"Mortality rate, adult, male (per 1,000 male adults)",Nigeria,Health Outcomes,Low-Income Countries,2002,420.191
"Mortality rate, adult, male (per 1,000 male adults)",Ethiopia,Health Outcomes,Low-Income Countries,2002,391.491
